"Date","Total","Died","Estimated Recovered *","Estimated Active"
2020-03-05,0,0,0,0
2020-03-06,1,0,0,1
2020-03-07,1,0,0,1
2020-03-08,1,0,0,1
2020-03-09,2,0,0,2
2020-03-10,2,0,0,2
2020-03-11,3,0,0,3
2020-03-12,4,0,0,4
2020-03-13,9,0,0,9
2020-03-14,14,0,0,14
2020-03-15,26,0,0,26
2020-03-16,38,0,0,38
2020-03-17,52,0,0,52
2020-03-18,61,0,0,61
2020-03-19,95,0,0,95
2020-03-20,121,0,0,121
2020-03-21,143,0,0,143
2020-03-22,225,1,0,224
2020-03-23,256,1,0,255
2020-03-24,324,1,0,323
2020-03-25,364,1,0,363
2020-03-26,450,3,0,447
2020-03-27,574,4,1,569
2020-03-28,689,5,1,683
2020-03-29,789,7,1,781
2020-03-30,902,7,2,893
2020-03-31,984,9,2,973
2020-04-01,1065,9,3,1053
2020-04-02,1268,10,4,1254
2020-04-03,1425,10,9,1406
2020-04-04,1592,15,14,1563
2020-04-05,1665,15,26,1624
2020-04-06,1731,15,38,1678
2020-04-07,1814,16,51,1747
2020-04-08,1964,17,60,1887
2020-04-09,2089,19,93,1977
2020-04-10,2209,22,119,2068
2020-04-11,2309,22,139,2148
2020-04-12,2368,22,219,2127
2020-04-13,2415,22,250,2143
2020-04-14,2537,23,317,2197
2020-04-15,2674,24,355,2295
2020-04-16,2804,25,440,2339
2020-04-17,2939,26,562,2351
2020-04-18,3071,29,676,2366
2020-04-19,3219,30,773,2416
2020-04-20,3308,35,885,2388
2020-04-21,3446,35,966,2445
2020-04-22,3607,37,1046,2524
2020-04-23,3763,43,1244,2476
2020-04-24,3944,43,1397,2504
2020-04-25,4126,45,1563,2518
2020-04-26,4236,46,1636,2554
2020-04-27,4331,47,1701,2583
2020-04-28,4478,47,1784,2647
2020-04-29,4653,47,1932,2674
2020-04-30,4809,50,2055,2704
2020-05-01,4966,53,2175,2738
2020-05-02,5153,56,2272,2825
2020-05-03,5286,57,2331,2898
2020-05-04,5415,58,2375,2982
2020-05-05,5570,61,2496,3013
2020-05-06,5698,64,2629,3005
2020-05-07,5892,66,2755,3071
2020-05-08,6077,70,2884,3123
2020-05-09,6228,73,3015,3140
2020-05-10,6344,75,3161,3108
2020-05-11,6417,78,3248,3091
2020-05-12,6600,79,3383,3138
2020-05-13,6729,83,3540,3106
2020-05-14,6893,86,3692,3115
2020-05-15,7046,90,3869,3087
2020-05-16,7218,93,4048,3077
2020-05-17,7366,95,4156,3115
2020-05-18,7503,98,4249,3156
2020-05-19,7702,98,4395,3209
2020-05-20,7862,100,4567,3195
2020-05-21,8056,103,4719,3234
2020-05-22,8239,105,4871,3263
2020-05-23,8379,107,5051,3221
2020-05-24,8510,109,5182,3219
2020-05-25,8605,111,5310,3184
2020-05-26,8690,112,5463,3115
2020-05-27,8927,112,5590,3225
2020-05-28,9260,116,5780,3364
2020-05-29,9537,116,5962,3459
2020-05-30,9809,118,6107,3584
2020-05-31,10016,120,6223,3673
2020-06-01,10218,123,6289,3806
2020-06-02,10499,123,6471,3905
2020-06-03,10811,126,6598,4087
2020-06-04,11259,128,6761,4370
2020-06-05,11805,128,6912,4765
2020-06-06,12083,131,7082,4870
2020-06-07,12366,134,7227,5005
2020-06-08,12562,134,7362,5066
2020-06-09,12874,139,7556,5179
2020-06-10,13246,143,7714,5389
2020-06-11,13582,144,7906,5532
2020-06-12,13984,149,8085,5750
2020-06-13,14324,150,8222,5952
2020-06-14,14627,152,8352,6123
2020-06-15,14945,153,8444,6348
2020-06-16,15367,154,8526,6687
2020-06-17,15854,159,8756,6939
2020-06-18,16458,162,9086,7210
2020-06-19,17106,164,9362,7580
2020-06-20,17519,166,9634,7719
2020-06-21,17972,168,9837,7967
2020-06-22,18338,171,10036,8131
2020-06-23,18828,172,10310,8346
2020-06-24,19431,176,10620,8635
2020-06-25,20084,177,11066,8841
2020-06-26,20653,178,11610,8865
2020-06-27,21150,181,11887,9082
2020-06-28,21748,183,12168,9397
2020-06-29,22283,186,12362,9735
2020-06-30,22798,190,12674,9934
2020-07-01,23366,193,13045,10128
2020-07-02,23990,195,13380,10415
2020-07-03,24669,198,13780,10691
2020-07-04,25080,202,14117,10761
2020-07-05,25615,208,14417,10990
2020-07-06,26201,212,14732,11257
2020-07-07,26952,219,15152,11581
2020-07-08,27579,226,15635,11718
2020-07-09,28455,230,16237,11988
2020-07-10,29080,232,16874,11974
2020-07-11,29724,238,17281,12205
2020-07-12,30315,240,17731,12344
2020-07-13,30793,244,18094,12455
2020-07-14,31254,247,18577,12430
2020-07-15,31963,252,19174,12537
2020-07-16,32710,257,19823,12630
2020-07-17,33452,262,20389,12801
2020-07-18,34255,266,20883,13106
2020-07-19,34667,272,21476,12919
2020-07-20,35114,279,22005,12830
2020-07-21,35670,285,22514,12871
2020-07-22,36181,291,23073,12817
2020-07-23,37051,300,23696,13055
2020-07-24,37719,303,24368,13048
2020-07-25,38077,307,24773,12997
2020-07-26,38512,312,25300,12900
2020-07-27,38935,314,25879,12742
2020-07-28,39275,318,26613,12344
2020-07-29,39771,324,27229,12218
2020-07-30,40278,327,28097,11854
2020-07-31,40770,329,28714,11727
2020-08-01,41251,332,29350,11569
2020-08-02,41592,338,29923,11331
2020-08-03,41962,341,30392,11229
2020-08-04,42374,344,30850,11180
2020-08-05,42952,347,31554,11051
2020-08-06,43405,352,32300,10753
2020-08-07,43789,358,33042,10389
2020-08-08,44170,361,33838,9971
2020-08-09,44442,366,34245,9831
2020-08-10,44794,369,34690,9735
2020-08-11,45115,370,35238,9507
2020-08-12,45449,377,35740,9332
2020-08-13,46007,378,36606,9023
2020-08-14,46364,382,37271,8711
2020-08-15,46703,389,37627,8687
2020-08-16,46942,391,38060,8491
2020-08-17,47204,392,38482,8330
2020-08-18,47568,394,38816,8358
2020-08-19,48026,396,39307,8323
2020-08-20,48509,398,39811,8300
2020-08-21,48884,405,40298,8181
2020-08-22,49182,407,40777,7998
2020-08-23,49431,410,41112,7909
2020-08-24,49833,412,41480,7941
2020-08-25,50246,414,41886,7946
2020-08-26,50633,414,42458,7761
2020-08-27,51024,416,42908,7700
2020-08-28,51497,416,43290,7791
2020-08-29,51960,417,43670,7873
2020-08-30,52216,418,43940,7858
2020-08-31,52505,419,44288,7798
2020-09-01,52927,423,44608,7896
2020-09-02,53441,425,44942,8074
2020-09-03,53948,430,45500,8018
2020-09-04,54401,435,45854,8112
2020-09-05,54804,436,46191,8177
2020-09-06,55145,440,46426,8279
2020-09-07,55461,441,46685,8335
2020-09-08,55774,443,47045,8286
2020-09-09,56162,443,47502,8217
2020-09-10,56842,445,47984,8413
2020-09-11,57431,446,48358,8627
2020-09-12,58087,448,48654,8985
2020-09-13,58644,449,48903,9292
2020-09-14,59224,450,49303,9471
2020-09-15,59971,450,49710,9811
2020-09-16,60889,451,50094,10344
2020-09-17,62012,452,50480,11080
2020-09-18,63104,454,50952,11698
2020-09-19,64023,455,51414,12154
2020-09-20,64664,456,51668,12540
2020-09-21,65300,458,51955,12887
2020-09-22,66195,459,52373,13363
2020-09-23,67431,463,52885,14083
2020-09-24,68865,467,53390,15008
2020-09-25,69896,472,53841,15583
2020-09-26,70974,477,54242,16255
2020-09-27,71860,478,54581,16801
2020-09-28,72524,481,54896,17147
2020-09-29,73449,483,55208,17758
2020-09-30,74452,489,55593,18370
2020-10-01,75583,494,56267,18822
2020-10-02,76685,495,56854,19336
2020-10-03,78076,503,57506,20067
2020-10-04,79161,508,58060,20593
2020-10-05,79900,511,58637,20752
2020-10-06,80895,521,59379,20995
2020-10-07,82406,529,60293,21584
2020-10-08,83774,535,61413,21826
2020-10-09,85147,540,62501,22106
2020-10-10,86365,544,63415,22406
2020-10-11,87359,551,64053,22755
2020-10-12,88319,553,64687,23079
2020-10-13,89468,556,65576,23336
2020-10-14,90985,561,66803,23621
2020-10-15,92509,567,68224,23718
2020-10-16,93842,571,69247,24024
2020-10-17,94967,576,70316,24075
2020-10-18,96147,581,71199,24367
2020-10-19,97204,582,71859,24763
2020-10-20,98502,586,72778,25138
2020-10-21,100154,597,73764,25793
2020-10-22,102174,599,74888,26687
2020-10-23,103808,603,75986,27219
2020-10-24,105635,611,77371,27653
2020-10-25,106811,618,78450,27743
2020-10-26,107945,624,79187,28134
2020-10-27,109535,633,80173,28729
2020-10-28,111395,641,81679,29075
2020-10-29,113788,646,83038,30104
2020-10-30,115515,661,84405,30449
2020-10-31,117389,664,85613,31112
2020-11-01,118598,672,86599,31327
2020-11-02,120284,680,87557,32047
2020-11-03,122419,699,88699,33021
2020-11-04,125263,703,90202,34358
2020-11-05,128310,719,91716,35875
2020-11-06,131317,731,93044,37542
2020-11-07,133771,735,94164,38872
2020-11-08,136019,747,95332,39940
2020-11-09,138458,753,96381,41324
2020-11-10,140776,761,97668,42347
2020-11-11,144777,776,99307,44694
2020-11-12,148219,784,101315,46120
2020-11-13,152339,797,102941,48601
2020-11-14,155003,811,104762,49430
2020-11-15,156992,825,105932,50235
2020-11-16,160180,836,107056,52288
2020-11-17,163184,852,108628,53704
2020-11-18,167190,870,110474,55846
2020-11-19,171833,890,112852,58091
2020-11-20,175235,909,114567,59759
2020-11-21,178518,921,116428,61169
2020-11-22,180741,936,117631,62174
2020-11-23,183412,957,119305,63150
2020-11-24,185196,983,121426,62787
2020-11-25,189085,995,124250,63840
2020-11-26,191390,1012,127267,63111
2020-11-27,193467,1021,130253,62193
2020-11-28,195211,1034,132693,61484
2020-11-29,197131,1055,134929,61147
2020-11-30,199665,1072,137349,61244
2020-12-01,203713,1094,139649,62970
2020-12-02,207657,1109,143632,62916
2020-12-03,210655,1119,147051,62485
2020-12-04,214363,1137,151144,62082
2020-12-05,216963,1158,153789,62016
2020-12-06,219174,1175,155761,62238
2020-12-07,221502,1198,158922,61382
2020-12-08,224076,1213,161901,60962
2020-12-09,227504,1232,165899,60373
2020-12-10,230706,1253,170503,58950
2020-12-11,233417,1271,173873,58273
2020-12-12,235513,1288,177141,57084
2020-12-13,237476,1307,179348,56821
2020-12-14,239410,1323,181992,56095
2020-12-15,242447,1336,183754,57357
2020-12-16,245659,1358,187622,56679
2020-12-17,248343,1378,189914,57051
2020-12-18,250774,1392,191965,57417
2020-12-19,252788,1410,193691,57687
2020-12-20,254591,1424,195599,57568
2020-12-21,256876,1439,198102,57335
2020-12-22,259530,1452,202121,55957
2020-12-23,262455,1466,206047,54942
2020-12-24,265002,1478,209036,54488
2020-12-25,265993,1489,212718,51786
2020-12-26,266808,1505,215310,49993
2020-12-27,268519,1519,217509,49491
2020-12-28,271271,1536,219820,49915
2020-12-29,273902,1548,222376,49978
2020-12-30,278608,1557,225778,51273
2020-12-31,281731,1571,228967,51193
2021-01-01,283687,1586,231663,50438
2021-01-02,285533,1598,233743,50192
2021-01-03,287706,1608,235692,50406
2021-01-04,291096,1620,237612,51864
2021-01-05,294916,1643,240620,52653
2021-01-06,299540,1660,243812,54068
2021-01-07,303382,1672,246472,55238
2021-01-08,306012,1688,248888,55436
2021-01-09,308337,1706,250891,55740
2021-01-10,309811,1722,252679,55410
2021-01-11,311960,1734,254947,55279
2021-01-12,314878,1744,257576,55558
2021-01-13,317635,1758,260477,55400
2021-01-14,320059,1771,263005,55283
2021-01-15,322218,1791,263993,56434
2021-01-16,323799,1806,264799,57194
2021-01-17,324872,1821,266502,56549
2021-01-18,326180,1834,269238,55108
2021-01-19,328332,1849,271858,54625
2021-01-20,330426,1862,276544,52020
2021-01-21,333066,1877,279656,51533
2021-01-22,334830,1891,281601,51338
2021-01-23,336337,1907,283435,50995
2021-01-24,337188,1918,285596,49674
2021-01-25,338605,1930,288972,47703
2021-01-26,340619,1945,292773,45901
2021-01-27,342385,1954,297377,43054
2021-01-28,343895,1966,301202,40727
2021-01-29,345376,1975,303812,39589
2021-01-30,346566,1982,306120,38464
2021-01-31,347151,1991,307581,37579
2021-02-01,348351,1995,309710,36646
2021-02-02,349942,2003,312610,35329
2021-02-03,351215,2010,315347,33858
2021-02-04,352438,2021,317763,32654
2021-02-05,353646,2026,319903,31717
2021-02-06,354559,2037,321473,31049
2021-02-07,355073,2047,322542,30484
2021-02-08,356003,2055,323837,30111
2021-02-09,357307,2058,325977,29272
2021-02-10,358557,2063,328065,28429
2021-02-11,359599,2068,330698,26833
2021-02-12,360542,2073,332452,26017
2021-02-13,361253,2081,333947,25225
2021-02-14,361716,2083,334794,24839
2021-02-15,362297,2086,336202,24009
2021-02-16,363194,2090,338201,22903
2021-02-17,364342,2095,339960,22287
2021-02-18,365200,2103,341461,21636
2021-02-19,365983,2107,342930,20946
2021-02-20,366688,2113,344116,20459
2021-02-21,367022,2116,344691,20215
2021-02-22,367736,2123,345886,19727
2021-02-23,368559,2132,347467,18960
2021-02-24,369392,2135,348732,18525
2021-02-25,370047,2137,349951,17959
2021-02-26,370734,2142,351154,17438
2021-02-27,371199,2145,352065,16989
2021-02-28,371462,2150,352577,16735
2021-03-01,371945,2155,353502,16288
2021-03-02,372668,2160,354803,15705
2021-03-03,373286,2164,356046,15076
2021-03-04,373839,2167,357084,14588
2021-03-05,374399,2173,358023,14203
2021-03-06,374815,2176,358732,13907
2021-03-07,375068,2179,359191,13698
2021-03-08,375626,2185,359771,13670
2021-03-09,376280,2190,360663,13427
2021-03-10,376942,2193,361804,12945
2021-03-11,377463,2195,362656,12612
2021-03-12,377957,2196,363435,12326
2021-03-13,378355,2202,364138,12015
2021-03-14,378576,2204,364470,11902
2021-03-15,379060,2206,365181,11673
2021-03-16,379755,2208,365998,11549
2021-03-17,380320,2212,366827,11281
2021-03-18,380767,2216,367477,11074
2021-03-19,381225,2220,368162,10843
2021-03-20,381597,2222,368625,10750
2021-03-21,381759,2224,368886,10649
2021-03-22,382145,2225,369367,10553
2021-03-23,382711,2226,370089,10396
2021-03-24,383243,2228,370704,10311
2021-03-25,383693,2229,371255,10209
2021-03-26,384146,2231,371810,10105
2021-03-27,384533,2235,372226,10072
2021-03-28,384725,2237,372477,10011
2021-03-29,385095,2237,373026,9832
2021-03-30,385616,2240,373675,9701
2021-03-31,386111,2240,374335,9536
2021-04-01,386536,2243,374847,9446
2021-04-02,386983,2243,375340,9400
2021-04-03,387326,2246,375736,9344
2021-04-04,387499,2247,375953,9299
2021-04-05,387805,2249,376435,9121
2021-04-06,388417,2250,377130,9037
2021-04-07,388902,2252,377694,8956
2021-04-08,389345,2254,378138,8953
2021-04-09,389749,2254,378594,8901
2021-04-10,390093,2254,378961,8878
2021-04-11,390277,2255,379123,8899
2021-04-12,390638,2256,379508,8874
2021-04-13,391170,2259,380071,8840
2021-04-14,391623,2260,380601,8762
2021-04-15,392089,2263,381048,8778
2021-04-16,392500,2263,381498,8739
2021-04-17,392744,2263,381881,8600
2021-04-18,392943,2265,382071,8607
2021-04-19,393257,2268,382438,8551
2021-04-20,393849,2271,382957,8621
2021-04-21,394313,2274,383448,8591
2021-04-22,394661,2279,383873,8509
2021-04-23,395127,2281,384317,8529
2021-04-24,395407,2283,384659,8465
2021-04-25,395653,2288,384832,8533
2021-04-26,395983,2291,385137,8555
2021-04-27,396508,2292,385747,8469
2021-04-28,396967,2293,386232,8442
2021-04-29,397309,2294,386671,8344
2021-04-30,397718,2296,387075,8347
2021-05-01,397995,2297,387415,8283
2021-05-02,398222,2297,387598,8327
2021-05-03,398483,2299,387956,8228
2021-05-04,398963,2301,388485,8177
2021-05-05,399360,2302,388932,8126
2021-05-06,399744,2306,389395,8043
2021-05-07,400105,2306,389804,7995
2021-05-08,400337,2307,390048,7982
2021-05-09,400545,2308,390246,7991
2021-05-10,400764,2310,390558,7896
2021-05-11,401227,2310,391149,7768
2021-05-12,401643,2311,391610,7722
2021-05-13,401987,2312,391955,7720
2021-05-14,402307,2314,392418,7575
2021-05-15,402554,2316,392698,7540
2021-05-16,402724,2318,392944,7462
2021-05-17,402979,2321,393271,7387
2021-05-18,403406,2322,393794,7290
2021-05-19,403671,2327,394250,7094
2021-05-20,403969,2329,394590,7050
2021-05-21,404229,2332,394996,6901
2021-05-22,404453,2334,395273,6846
2021-05-23,404601,2337,395496,6768
2021-05-24,404790,2339,395757,6694
2021-05-25,405067,2342,396235,6490
2021-05-26,405374,2344,396629,6401
2021-05-27,405649,2345,397012,6292
2021-05-28,405847,2347,397370,6130
2021-05-29,406017,2348,397601,6068
2021-05-30,406157,2348,397805,6004
2021-05-31,406270,2350,398022,5898
2021-06-01,406474,2353,398483,5638
2021-06-02,406812,2353,398894,5565
2021-06-03,407099,2354,399236,5509
2021-06-04,407405,2355,399552,5498
2021-06-05,407625,2357,399797,5471
2021-06-06,407799,2358,399965,5476
2021-06-07,408050,2360,400219,5471
2021-06-08,408418,2361,400638,5419
2021-06-09,408735,2363,400901,5471
2021-06-10,409000,2367,401196,5437
2021-06-11,409356,2369,401452,5535
2021-06-12,409546,2370,401675,5501
2021-06-13,409715,2370,401823,5522
2021-06-14,409954,2370,402010,5574
2021-06-15,410366,2374,402284,5708
2021-06-16,410737,2374,402589,5774
2021-06-17,411060,2377,402863,5820
2021-06-18,411348,2381,403058,5909
2021-06-19,411600,2384,403225,5991
2021-06-20,411761,2386,403363,6012
2021-06-21,412014,2390,403475,6149
2021-06-22,412537,2397,403672,6468
2021-06-23,412995,2399,404010,6586
2021-06-24,413306,2403,404294,6609
2021-06-25,413657,2405,404594,6658
2021-06-26,413937,2406,404814,6717
2021-06-27,414189,2408,404987,6794
2021-06-28,414562,2410,405235,6917
2021-06-29,415127,2411,405599,7117
2021-06-30,415669,2414,405914,7341
2021-07-01,416105,2415,406174,7516
2021-07-02,416583,2416,406524,7643
2021-07-03,416931,2420,406712,7799
2021-07-04,417092,2425,406879,7788
2021-07-05,417256,2427,407114,7715
2021-07-06,417649,2432,407521,7696
2021-07-07,418320,2433,407890,7997
2021-07-08,418969,2437,408211,8321
2021-07-09,419427,2441,408494,8492
2021-07-10,419910,2444,408746,8720
2021-07-11,420171,2446,408905,8820
2021-07-12,420651,2450,409157,9044
2021-07-13,421251,2453,409673,9125
2021-07-14,421943,2454,410127,9362
2021-07-15,422624,2457,410433,9734
2021-07-16,423248,2459,410778,10011
2021-07-17,423762,2461,411055,10246
2021-07-18,424165,2461,411303,10401
2021-07-19,424731,2463,411673,10595
2021-07-20,425597,2464,412235,10898
2021-07-21,426413,2469,412771,11173
2021-07-22,427180,2473,413199,11508
2021-07-23,427848,2478,413672,11698
2021-07-24,428352,2482,414019,11851
2021-07-25,428683,2485,414177,12021
2021-07-26,429296,2487,414341,12468
2021-07-27,430135,2491,414731,12913
2021-07-28,431244,2493,415395,13356
2021-07-29,432459,2499,416038,13922
2021-07-30,433414,2503,416492,14419
2021-07-31,434201,2514,416975,14712
2021-08-01,434699,2522,417234,14943
2021-08-02,435433,2531,417711,15191
2021-08-03,436482,2536,418306,15640
2021-08-04,437578,2539,418993,16046
2021-08-05,438473,2544,419672,16257
2021-08-06,439420,2550,420291,16579
2021-08-07,440080,2554,420804,16722
2021-08-08,440482,2559,421199,16724
2021-08-09,441118,2567,421754,16797
2021-08-10,442228,2570,422614,17044
2021-08-11,443471,2575,423423,17473
2021-08-12,444356,2580,424182,17594
2021-08-13,445493,2588,424850,18055
2021-08-14,446374,2594,425349,18431
2021-08-15,446792,2601,425675,18516
2021-08-16,447763,2610,426280,18873
2021-08-17,449247,2615,427111,19521
2021-08-18,450529,2622,428216,19691
2021-08-19,451651,2631,429423,19597
2021-08-20,452867,2640,430369,19858
2021-08-21,453727,2645,431149,19933
2021-08-22,454373,2653,431638,20082
2021-08-23,455512,2661,432364,20487
2021-08-24,457093,2667,433400,21026
2021-08-25,458585,2677,434492,21416
2021-08-26,459883,2684,435381,21818
2021-08-27,461481,2690,436319,22472
2021-08-28,462602,2700,436976,22926
2021-08-29,463199,2705,437375,23119
2021-08-30,464420,2718,438008,23694
2021-08-31,466097,2723,439106,24268
2021-09-01,467786,2735,440340,24711
2021-09-02,469413,2738,441221,25454
2021-09-03,471283,2747,442349,26187
2021-09-04,472468,2758,443228,26482
2021-09-05,473384,2769,443640,26975
2021-09-06,474091,2776,444596,26719
2021-09-07,475624,2787,446058,26779
2021-09-08,477788,2797,447332,27659
2021-09-09,479977,2803,448449,28725
2021-09-10,481820,2816,449657,29347
2021-09-11,483180,2821,450511,29848
2021-09-12,484200,2829,451147,30224
2021-09-13,485467,2838,452273,30356
2021-09-14,487347,2846,453848,30653
2021-09-15,489231,2857,455322,31052
2021-09-16,490983,2869,456606,31508
2021-09-17,492352,2877,458194,31281
2021-09-18,493476,2887,459302,31287
2021-09-19,494372,2900,459894,31578
2021-09-20,495704,2913,461105,31686
2021-09-21,497420,2922,462767,31731
2021-09-22,499028,2944,464447,31637
2021-09-23,500699,2953,466063,31683
2021-09-24,502059,2962,467918,31179
2021-09-25,503086,2969,469094,31023
2021-09-26,503880,2977,470003,30900
2021-09-27,505003,2989,470705,31309
2021-09-28,506798,3001,472227,31570
2021-09-29,508494,3010,474372,31112
2021-09-30,510215,3018,476545,30652
2021-10-01,511584,3027,478374,30183
2021-10-02,512662,3039,479723,29900
2021-10-03,513505,3049,480729,29727
2021-10-04,514760,3056,481982,29722
2021-10-05,516732,3066,483846,29820
2021-10-06,518482,3079,485715,29688
2021-10-07,520137,3098,487457,29582
2021-10-08,521382,3110,488813,29459
2021-10-09,522240,3118,489928,29194
2021-10-10,523463,3124,490816,29523
2021-10-11,524558,3135,492137,29286
2021-10-12,526383,3149,493836,29398
2021-10-13,527623,3163,495433,29027
2021-10-14,529127,3176,497091,28860
2021-10-15,530449,3187,498442,28820
2021-10-16,531539,3201,499460,28878
2021-10-17,532170,3205,500249,28716
2021-10-18,533520,3213,501355,28952
2021-10-19,534898,3221,503140,28537
2021-10-20,537242,3235,504826,29181
2021-10-21,538882,3242,506529,29111
2021-10-22,540555,3248,507887,29420
2021-10-23,541803,3254,508956,29593
2021-10-24,542530,3275,509795,29460
2021-10-25,544156,3285,511044,29827
2021-10-26,546193,3304,513002,29887
2021-10-27,548025,3316,514738,29971
2021-10-28,549835,3335,516384,30116
2021-10-29,551448,3347,517610,30491
2021-10-30,552084,3359,518462,30263
2021-10-31,553050,3371,519677,30002
2021-11-01,554321,3388,520766,30167
2021-11-02,556436,3398,522576,30462
2021-11-03,558693,3410,523806,31477
2021-11-04,560571,3416,525299,31856
2021-11-05,562593,3431,526609,32553
2021-11-06,563399,3446,527692,32261
2021-11-07,564605,3449,528316,32840
2021-11-08,566149,3460,529649,33040
2021-11-09,567693,3476,531017,33200
2021-11-10,569770,3489,533348,32933
2021-11-11,571544,3504,534975,33065
2021-11-12,573582,3512,536638,33432
2021-11-13,574891,3516,537872,33503
2021-11-14,576041,3530,538589,33922
2021-11-15,577301,3540,540204,33557
2021-11-16,579400,3552,542228,33620
2021-11-17,581193,3557,544044,33592
2021-11-18,582960,3566,545838,33556
2021-11-19,584535,3578,547436,33521
2021-11-20,585758,3587,548069,34102
2021-11-21,586796,3600,549029,34167
2021-11-22,587957,3606,550291,34060
2021-11-23,589716,3618,552391,33707
2021-11-24,591270,3629,554636,33005
2021-11-25,592155,3638,556503,32014
2021-11-26,592713,3642,558507,30564
2021-11-27,593727,3647,559306,30774
2021-11-28,594630,3658,560500,30472
2021-11-29,595816,3673,562032,30111
2021-11-30,598113,3683,563558,30872
2021-12-01,600088,3693,565623,30772
2021-12-02,601970,3707,567379,30884
2021-12-03,603398,3713,569409,30276
2021-12-04,604564,3719,570709,30136
2021-12-05,605472,3724,571847,29901
2021-12-06,606592,3736,573095,29761
2021-12-07,608014,3745,575179,29090
2021-12-08,609392,3756,576961,28675
2021-12-09,610721,3766,578723,28232
2021-12-10,611804,3770,580288,27746
2021-12-11,612678,3776,581501,27401
2021-12-12,613424,3788,582531,27105
2021-12-13,614328,3800,583681,26847
2021-12-14,615609,3811,585429,26369
2021-12-15,616726,3817,586976,25933
2021-12-16,617748,3824,587858,26066
2021-12-17,618657,3828,588408,26421
2021-12-18,619523,3841,589417,26265
2021-12-19,620281,3848,590310,26123
2021-12-20,621086,3857,591488,25741
2021-12-21,622470,3867,593771,24832
2021-12-22,623743,3873,595735,24135
2021-12-23,625223,3880,597608,23735
2021-12-24,626531,3881,599021,23629
2021-12-25,627746,3889,600183,23674
2021-12-26,628368,3896,601081,23391
2021-12-27,630146,3901,602191,24054
2021-12-28,633388,3907,603608,25873
2021-12-29,636943,3915,604973,28055
2021-12-30,641597,3920,606295,31382
2021-12-31,645388,3927,607365,34096
2022-01-01,648620,3934,608231,36455
2022-01-02,651689,3940,608974,38775
2022-01-03,656267,3949,609870,42448
2022-01-04,663365,3956,611144,48265
2022-01-05,672238,3965,612251,56022
2022-01-06,681539,3974,613266,64299
2022-01-07,690850,3983,614173,72694
2022-01-08,699283,3991,615036,80256
2022-01-09,705550,4001,615790,85759
2022-01-10,715606,4008,616584,95014
2022-01-11,725952,4018,617954,103980
2022-01-12,738995,4025,619223,115747
2022-01-13,750193,4036,620699,125458
2022-01-14,763717,4051,621994,137672
2022-01-15,773791,4061,623205,146525
2022-01-16,780125,4073,623818,152234
2022-01-17,790035,4089,625592,160354
2022-01-18,802607,4100,628820,169687
2022-01-19,814214,4112,632369,177733
2022-01-20,825816,4123,637000,184693
2022-01-21,836411,4141,640781,191489
2022-01-22,843249,4155,644007,195087
2022-01-23,847796,4169,647061,196566
2022-01-24,854405,4182,651626,198597
2022-01-25,861870,4191,658704,198975
2022-01-26,868854,4197,667569,197088
2022-01-27,875014,4209,676860,193945
2022-01-28,879810,4214,686164,189432
2022-01-29,883009,4223,694584,184202
2022-01-30,885321,4234,700838,180249
2022-01-31,888154,4245,710874,173035
2022-02-01,891767,4252,721201,166314
2022-02-02,895227,4267,734223,156737
2022-02-03,898029,4281,745399,148349
2022-02-04,900533,4289,758910,137334
2022-02-05,902252,4300,768965,128987
2022-02-06,903569,4310,775286,123973
2022-02-07,904913,4327,785182,115404
2022-02-08,906932,4334,797739,104859
2022-02-09,908893,4342,809331,95220
2022-02-10,910685,4349,820917,85419
2022-02-11,912037,4359,831493,76185
2022-02-12,913156,4370,838319,70467
2022-02-13,913810,4376,842858,66576
2022-02-14,914577,4380,849458,60739
2022-02-15,915987,4383,856908,54696
2022-02-16,917014,4388,863874,48752
2022-02-17,918046,4394,870022,43630
2022-02-18,918890,4397,874809,39684
2022-02-19,919454,4402,878001,37051
2022-02-20,919830,4406,880311,35113
2022-02-21,920143,4408,883128,32607
2022-02-22,920803,4408,886732,29663
2022-02-23,921467,4408,890180,26879
2022-02-24,921956,4408,892973,24575
